road_team,home_team,game_time,game_location,point_total,temperature (°F),precipitation_chance,wind_direction,wind_speed,DK_total,DK_team_total_rd,DK_team_total_hm,DK_moneyline_rd,DK_moneyline_hm,DK_spread_rd,DK_spread_hm,FD_total,FD_team_total_rd,FD_team_total_hm,FD_moneyline_rd,FD_moneyline_hm,FD_spread_rd,FD_spread_hm,PB_total,PB_team_total_rd,PB_team_total_hm,PB_moneyline_rd,PB_moneyline_hm,PB_spread_rd,PB_spread_hm
NYJ,BAL,8:20 PM ET,at M&T Bank Stadium,43.5,34°,0%,ESE,4,o44 (-110),13.5,30.5,+800,-1115,+17 (-110),-17 (-110),o43.5 (-115),13.5,30.0,+820,-1200,+16.5 (-105),-16.5 (-115),o44 (-110),13.5,30.5,+600,-1200,+17 (-105),-17 (-105)
CHI,GBP,1:00 PM ET,at Lambeau Field,40.5,18°,1%,W,6,o40 (-110),17.75,22.25,+190,-220,+4.5 (-112),-4.5 (-109),o40.5 (-105),18.5,22.0,+182,-215,+3.5 (-105),-3.5 (-115),o40 (-110),18.0,22.0,+175,-220,+4 (-105),-4 (-105)
NEP,CIN,1:00 PM ET,at Paul Brown Stadium,41.5,34°,9%,W,4,o41.5 (-110),25.5,16.0,-435,+360,-9.5 (-113),+9.5 (-108),o41.5 (-115),25.5,16.0,-460,+370,-9.5 (-115),+9.5 (-105),o41.5 (-115),25.75,15.75,-480,+360,-10 (-105),+10 (-105)
HOU,TEN,1:00 PM ET,at LP Field,51.5,41°,21%,ENE,2,o51 (-110),23.75,27.25,+145,-167,+3.5 (-114),-3.5 (-107),o51.5 (-105),24.25,27.25,+144,-166,+3 (-105),-3 (-115),o51 (-110),24.0,27.0,+145,-170,+3 (+105),-3 (-115)
DEN,KCC,1:00 PM ET,at Arrowhead Stadium,45.5,27°,44%,NE,2,o45 (-110),17.5,27.5,+425,-530,+10 (-110),-10 (-110),o45.5 (-105),18.0,27.5,+430,-550,+9.5 (-105),-9.5 (-115),o45 (-110),17.5,27.5,+390,-530,+10 (-110),-10 (even)
MIA,NYG,1:00 PM ET,at MetLife Stadium,46.5,47°,16%,W,16,o46.5 (-110),21.5,25.0,+155,-177,+3.5 (-114),-3.5 (-107),o46.5 (-105),21.5,25.0,+152,-176,+3.5 (-115),-3.5 (-105),o46.5 (-110),21.5,25.0,+160,-190,+3.5 (-110),-3.5 (even)
PHI,WAS,1:00 PM ET,at FedEx Field,38.5,48°,3%,W,11,o39 (-110),22.25,16.75,-220,+188,-5.5 (-110),+5.5 (-110),o38.5 (-115),21.5,17.0,-220,+190,-4.5 (-110),+4.5 (-110),o39 (-110),22.0,17.0,-235,+185,-5 (-105),+5 (-105)
TBB,DET,1:00 PM ET,at Ford Field,45.5,DOME,DOME,DOME,DOME,o45.5 (-110),24.5,21.0,-186,+155,-3.5 (-113),+3.5 (-108),o45.5 (-110),24.5,21.0,-200,+172,-3.5 (-115),+3.5 (-105),o46 (-105),24.75,21.25,-195,+165,-3.5 (-110),+3.5 (even)
SEA,CAR,1:00 PM ET,at Bank of America Stadium,48.5,54°,1%,WSW,4,o48.5 (-110),27.5,21.0,-265,+225,-6.5 (-106),+6.5 (-115),o48.5 (-110),27.5,21.0,-265,+225,-6.5 (-105),+6.5 (-115),o49 (-105),27.75,21.25,-280,+220,-6.5 (-105),+6.5 (-105)
JAC,OAK,4:05 PM ET,at O.co Coliseum,45.5,56°,0%,NW,5,o45 (-110),19.25,25.75,+230,-275,+6.5 (-110),-6.5 (-110),o45.5 (-110),19.5,26.0,+235,-280,+6.5 (-110),-6.5 (-110),o45.5 (-110),19.5,26.0,+225,-285,+6.5 (-105),-6.5 (-105)
CLE,ARI,4:05 PM ET,at University of Phoenix Stadium,49,63°,2%,W,6,o49 (-110),26.0,23.0,-143,+125,-3 (-103),+3 (-121),o49 (-110),26.0,23.0,-152,+132,-3 (-105),+3 (-115),o49 (-110),25.75,23.25,-150,+130,-2.5 (-120),+2.5 (+110)
MIN,LAC,4:05 PM ET,at StubHub Center,45.5,62°,2%,WNW,9,o45.5 (-109),24.0,21.5,-129,+114,-2.5 (-109),+2.5 (-112),o45.5 (-115),23.5,22.0,-122,+106,-1.5 (-110),+1.5 (-110),o45.5 (-110),23.5,22.0,-125,+105,-1.5 (-105),+1.5 (-105)
LAR,DAL,4:25 PM ET,at AT&T Stadium,48.5,DOME,DOME,DOME,DOME,o49 (-110),25.25,23.75,-121,+106,-1.5 (-110),+1.5 (-110),o48.5 (-115),24.75,23.75,-108,-108,-1 (-105),+1 (-115),o48.5 (-115),25.0,23.5,-120,even,-1.5 (-105),+1.5 (-105)
ATL,SFO,4:25 PM ET,at Levi's Stadium,48.5,54°,1%,WNW,6,o48.5 (-110),19.0,29.5,+400,-480,+10.5 (-110),-10.5 (-110),o48.5 (-110),19.0,29.5,+400,-500,+10.5 (-115),-10.5 (-105),o48 (-115),18.75,29.25,+390,-530,+10.5 (-110),-10.5 (even)
BUF,PIT,8:20 PM ET,at Heinz Field,35.5,32°,2%,W,4,o36 (-110),17.0,19.0,+112,-125,+2 (-110),-2 (-110),o35.5 (-115),17.0,18.5,+104,-120,+1.5 (-110),-1.5 (-110),o35.5 (-110),17.0,18.5,+105,-125,+1.5 (-105),-1.5 (-105)
IND,NOS,8:15 PM ET,at Mercedes-Benz Superdome,46.5,DOME,DOME,DOME,DOME,o46.5 (-110),18.75,27.75,+300,-360,+9 (-110),-9 (-110),o46.5 (-110),19.0,27.5,+330,-410,+8.5 (-110),-8.5 (-110),o46.5 (-110),18.75,27.75,+320,-420,+9 (-105),-9 (-105)
